TS                       Open     High      Low    Close Bias       BullFVG BearFVG BullIFVG BearIFVG
2025-12-02T02:49:00+00:00 25418.75 25421.75 25417.25 25420.00 Bearish         10       4       11        4
2025-12-02T02:50:00+00:00 25420.50 25421.00 25419.25 25420.50 Bearish         10       5       11        4
2025-12-02T02:51:00+00:00 25420.25 25423.00 25420.00 25422.75 Bullish         10       5       11        4
2025-12-02T02:52:00+00:00 25672.00 25681.00 25672.00 25681.00 Bullish         11       1       15        1
2025-12-02T02:53:00+00:00 25425.25 25427.00 25424.25 25424.75 Bearish         12       1       13        1
2025-12-02T02:54:00+00:00 25424.00 25427.00 25423.75 25426.25 Bearish         12       2       13        1
2025-12-02T02:55:00+00:00 25426.50 25429.25 25426.00 25428.25 Bullish         12       2       13        1
2025-12-02T02:56:00+00:00 25683.25 25684.00 25683.25 25684.00 Bullish         13       1       14        1
2025-12-02T02:57:00+00:00 25428.25 25428.50 25425.25 25425.25 Bearish         12       1       13        2
2025-12-02T02:58:00+00:00 25425.75 25427.50 25423.50 25424.25 Bearish         12       2       13        2
2025-12-02T02:59:00+00:00 25676.25 25677.75 25675.00 25675.00 Bullish         13       2       13        2
2025-12-02T03:00:00+00:00 25423.75 25424.50 25422.00 25424.50 Bearish         12       2       13        3
2025-12-02T03:01:00+00:00 25677.00 25678.75 25676.50 25677.00 Bullish         12       2       13        2
2025-12-02T03:02:00+00:00 25425.00 25425.00 25419.25 25421.25 Bearish         11       2       12        3
2025-12-02T03:03:00+00:00 25420.50 25425.00 25420.00 25424.25 Bearish         11       3       12        3
2025-12-02T03:04:00+00:00 25423.75 25424.00 25420.75 25422.00 Bearish         11       3       12        3
2025-12-02T03:05:00+00:00 25421.25 25422.50 25419.25 25421.75 Bearish         11       3       12        3
2025-12-02T03:06:00+00:00 25421.25 25424.00 25419.50 25422.25 Bearish         11       3       12        3
2025-12-02T03:07:00+00:00   252.25   252.25   252.25   252.25 Bearish          1       4        1       13
2025-12-02T03:08:00+00:00 25420.25 25421.25 25417.75 25417.75 Bullish          1       4        1       11
2025-12-02T03:09:00+00:00 25418.25 25419.00 25416.25 25418.50 Bullish          2       4        1       11
2025-12-02T03:10:00+00:00 25418.25 25419.50 25416.00 25416.75 Bullish          2       4        1       11
2025-12-02T03:11:00+00:00   252.55   252.55   252.55   252.55 Bearish          2       5        1       11
2025-12-02T03:12:00+00:00 25414.50 25416.00 25413.00 25414.75 Bullish          2       5        1       11
2025-12-02T03:13:00+00:00 25414.00 25414.00 25409.75 25409.75 Bearish          3       5        1       11
2025-12-02T03:14:00+00:00 25409.75 25410.50 25407.50 25409.00 Bearish          3       6        1       11
2025-12-02T03:15:00+00:00 25408.50 25408.50 25401.75 25402.00 Bearish          3       7        1       11
2025-12-02T03:16:00+00:00 25650.00 25652.25 25650.00 25652.25 Bullish          4       3        5        7
2025-12-02T03:17:00+00:00 25395.75 25396.75 25391.50 25394.25 Bearish          3       4        3        8
2025-12-02T03:18:00+00:00 25394.75 25398.75 25391.00 25397.00 Bullish          3       5        3        8
2025-12-02T03:19:00+00:00 25650.00 25654.00 25650.00 25652.75 Bullish          4       3        5        7
2025-12-02T03:20:00+00:00 25650.50 25652.75 25650.50 25652.25 Bullish          5       3        5        7
2025-12-02T03:21:00+00:00 25399.75 25399.75 25393.50 25394.00 Bearish          3       4        3        9
2025-12-02T03:22:00+00:00 25394.00 25394.00 25390.00 25390.50 Bearish          3       5        3        9
